gene_symbol	MANE_transcript	ClinVar_PL_record_count	cds_count	splice_window_10bp_count	utr_count	intron_count	exon_count	unit_count	best_single_exon_unit_id	best_single_exon_coverage_fraction	best_single_exon_donor_size_bp	best_adjacent_exon_block_unit_id	best_adjacent_exon_block_coverage_fraction	best_adjacent_exon_block_donor_size_bp	best_downstream_CDS_implantation_unit_id	best_downstream_CDS_implantation_coverage_fraction	best_downstream_CDS_implantation_donor_size_bp	semantic_class_prePAExact	mechanism_or_context_caution_class	semantic_panel_role	semantic_note	mode_recommendation_status	interpretation_limit	not_total_score
ABCA12	ENST00000272895.12	206	152	75	0	54	53	307	ABCA12:single_exon:E33	0.048544	151	ABCA12:exon_block:E33-E37	0.140777	713	ABCA12:downstream_CDS_implantation:after_E1	0.995146	7716	large_gene_or_donor_burden_stress_case	donor_burden_dominant	donor_burden_stress_panel	high theoretical coverage may require very large donor or complex transcript context	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABCA13	ENST00000435803.6	4	3	2	0	1	62	361	ABCA13:single_exon:E17	0.500000	4779	ABCA13:exon_block:E36-E39	0.500000	735	ABCA13:downstream_CDS_implantation:after_E16	1.000000	13054	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABCA2	ENST00000341511.11	14	11	5	0	3	49	283	ABCA2:single_exon:E27	0.214286	237	ABCA2:exon_block:E27-E31	0.357143	1078	ABCA2:downstream_CDS_implantation:after_E6	1.000000	6741	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABCA3	ENST00000301732.10	135	114	36	0	21	33	187	ABCA3:single_exon:E12	0.081481	182	ABCA3:exon_block:E5-E9	0.237037	936	ABCA3:downstream_CDS_implantation:after_E4	1.000000	5058	high_coverage_downstream_CDS_but_donor_or_context_burden	context_burden	context_burden_panel	high coverage depends on donor/context assumptions	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABCA4	ENST00000370225.4	1464	1217	415	0	247	50	289	ABCA4:single_exon:E13	0.043716	177	ABCA4:exon_block:E12-E16	0.148907	1033	ABCA4:downstream_CDS_implantation:after_E1	0.987022	6753	large_gene_or_donor_burden_stress_case	donor_burden_dominant	donor_burden_stress_panel	high theoretical coverage may require very large donor or complex transcript context	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABCA5	ENST00000392676.8	5	5	1	0	0	39	223	ABCA5:single_exon:E33	0.200000	76	ABCA5:exon_block:E17-E19	0.400000	462	ABCA5:downstream_CDS_implantation:after_E2	1.000000	4824	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABCA7	ENST00000263094.11	18	15	7	0	3	47	271	ABCA7:single_exon:E24	0.222222	203	ABCA7:exon_block:E24-E26	0.277778	357	ABCA7:downstream_CDS_implantation:after_E3	1.000000	6278	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABCA8	ENST00000586539.6	1	1	0	0	0	40	229	ABCA8:single_exon:E19	1.000000	120	ABCA8:exon_block:E18-E19	1.000000	260	ABCA8:downstream_CDS_implantation:after_E18	1.000000	2585	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABCB1	ENST00000622132.5	4	3	2	0	1	28	157	ABCB1:single_exon:E19	0.250000	78	ABCB1:exon_block:E19-E22	0.750000	467	ABCB1:downstream_CDS_implantation:after_E6	1.000000	3310	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABCB11	ENST00000650372.1	318	252	92	0	66	28	157	ABCB11:single_exon:E14	0.081761	204	ABCB11:exon_block:E13-E17	0.248428	767	ABCB11:downstream_CDS_implantation:after_E1	1.000000	3963	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABCB4	ENST00000649586.2	164	129	53	1	34	28	157	ABCB4:single_exon:E13	0.085366	204	ABCB4:exon_block:E9-E13	0.250000	727	ABCB4:downstream_CDS_implantation:after_E1	1.000000	3837	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABCB6	ENST00000265316.9	10	9	3	0	1	19	103	ABCB6:single_exon:E5	0.300000	184	ABCB6:exon_block:E5-E8	0.500000	482	ABCB6:downstream_CDS_implantation:after_E4	0.900000	1556	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABCB7	ENST00000373394.8	10	10	2	0	0	16	85	ABCB7:single_exon:E10	0.400000	158	ABCB7:exon_block:E6-E10	0.700000	779	ABCB7:downstream_CDS_implantation:after_E4	1.000000	1803	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABCC1	ENST00000399410.8	1	1	0	0	0	31	175	ABCC1:single_exon:E13	1.000000	147	ABCC1:exon_block:E13-E14	1.000000	235	ABCC1:downstream_CDS_implantation:after_E12	1.000000	2916	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABCC2	ENST00000647814.1	189	148	66	0	41	32	181	ABCC2:single_exon:E25	0.079365	200	ABCC2:exon_block:E22-E26	0.248677	858	ABCC2:downstream_CDS_implantation:after_E1	1.000000	4602	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABCC6	ENST00000205557.12	296	255	77	0	41	31	175	ABCC6:single_exon:E28	0.091216	159	ABCC6:exon_block:E24-E28	0.290541	735	ABCC6:downstream_CDS_implantation:after_E1	1.000000	4473	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABCC8	ENST00000389817.8	476	393	154	0	83	39	223	ABCC8:single_exon:E5	0.075630	243	ABCC8:exon_block:E1-E5	0.214286	891	ABCC8:downstream_CDS_implantation:after_E1	0.945378	4595	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABCC9	ENST00000261200.9	102	77	39	0	25	40	229	ABCC9:single_exon:E29	0.078431	158	ABCC9:exon_block:E25-E29	0.225490	704	ABCC9:downstream_CDS_implantation:after_E3	1.000000	4505	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABCD1	ENST00000218104.6	512	468	99	1	43	10	49	ABCD1:single_exon:E1	0.416016	1311	ABCD1:exon_block:E1-E5	0.638672	1899	ABCD1:downstream_CDS_implantation:after_E1	0.593750	1335	compact_adjacent_exon_block_opportunity	compact_exon_block	primary_metric_specific_candidate_panel	adjacent exon/block unit captures meaningful record burden	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABCD3	ENST00000370214.9	1	0	0	0	1	23	127	ABCD3:single_exon:E2	0.000000	37	ABCD3:exon_block:E2-E3	0.000000	136	ABCD3:downstream_CDS_implantation:after_E22	1.000000	75	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABCD4	ENST00000356924.9	42	30	18	0	12	19	103	ABCD4:single_exon:E12	0.166667	209	ABCD4:exon_block:E3-E7	0.428571	562	ABCD4:downstream_CDS_implantation:after_E1	0.976190	1780	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABCG5	ENST00000405322.8	70	42	27	0	24	13	67	ABCG5:single_exon:E11	0.128571	186	ABCG5:exon_block:E8-E12	0.428571	858	ABCG5:downstream_CDS_implantation:after_E1	0.914286	1810	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABCG8	ENST00000272286.4	60	48	24	0	12	13	67	ABCG8:single_exon:E11	0.133333	268	ABCG8:exon_block:E2-E6	0.500000	901	ABCG8:downstream_CDS_implantation:after_E1	0.966667	1956	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABHD12	ENST00000339157.10	52	40	18	0	12	13	67	ABHD12:single_exon:E12	0.192308	128	ABHD12:exon_block:E8-E12	0.423077	408	ABHD12:downstream_CDS_implantation:after_E1	0.923077	1003	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABHD16A	ENST00000395952.8	7	6	6	0	1	20	109	ABHD16A:single_exon:E15	0.142857	57	ABHD16A:exon_block:E15-E18	0.571429	296	ABHD16A:downstream_CDS_implantation:after_E3	1.000000	1418	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABHD5	ENST00000644371.2	32	24	10	0	7	7	31	ABHD5:single_exon:E6	0.343750	187	ABHD5:exon_block:E2-E6	0.875000	913	ABHD5:downstream_CDS_implantation:after_E1	0.906250	1000	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABL1	ENST00000318560.6	26	26	4	0	0	11	55	ABL1:single_exon:E4	0.307692	273	ABL1:exon_block:E4-E8	0.692308	874	ABL1:downstream_CDS_implantation:after_E1	1.000000	3311	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ACACA	ENST00000616317.5	2	2	0	0	0	56	325	ACACA:single_exon:E41	0.500000	147	ACACA:exon_block:E52-E53	0.500000	268	ACACA:downstream_CDS_implantation:after_E40	1.000000	2217	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ACAD8	ENST00000281182.9	37	28	13	0	9	11	55	ACAD8:single_exon:E8	0.135135	98	ACAD8:exon_block:E6-E10	0.513514	628	ACAD8:downstream_CDS_implantation:after_E1	0.864865	1136	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ACAD9	ENST00000308982.12	185	130	76	0	55	18	97	ACAD9:single_exon:E12	0.129730	129	ACAD9:exon_block:E12-E16	0.394595	543	ACAD9:downstream_CDS_implantation:after_E1	0.935135	1713	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ACADM	ENST00000370841.9	370	306	118	1	63	12	61	ACADM:single_exon:E11	0.200000	249	ACADM:exon_block:E7-E11	0.518919	726	ACADM:downstream_CDS_implantation:after_E1	0.972973	1233	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ACADS	ENST00000242592.9	93	76	30	0	17	10	49	ACADS:single_exon:E3	0.161290	150	ACADS:exon_block:E2-E6	0.559140	749	ACADS:downstream_CDS_implantation:after_E1	0.946237	1190	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ACADSB	ENST00000358776.7	42	29	17	0	13	11	55	ACADSB:single_exon:E10	0.166667	100	ACADSB:exon_block:E6-E10	0.523810	547	ACADSB:downstream_CDS_implantation:after_E1	0.976190	1254	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ACADVL	ENST00000356839.10	513	409	182	0	102	20	109	ACADVL:single_exon:E10	0.097466	199	ACADVL:exon_block:E6-E10	0.411306	735	ACADVL:downstream_CDS_implantation:after_E1	0.976608	1903	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ACAN	ENST00000560601.4	203	182	35	0	21	19	103	ACAN:single_exon:E12	0.256158	4566	ACAN:exon_block:E8-E12	0.482759	5403	ACAN:downstream_CDS_implantation:after_E1	1.000000	7704	high_coverage_downstream_CDS_but_donor_or_context_burden	context_burden	context_burden_panel	high coverage depends on donor/context assumptions	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ACAT1	ENST00000265838.9	212	167	76	0	45	12	61	ACAT1:single_exon:E11	0.146226	158	ACAT1:exon_block:E4-E8	0.476415	588	ACAT1:downstream_CDS_implantation:after_E1	0.948113	1209	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ACBD5	ENST00000396271.8	24	16	10	0	8	13	67	ACBD5:single_exon:E2	0.208333	166	ACBD5:exon_block:E7-E11	0.458333	830	ACBD5:downstream_CDS_implantation:after_E1	0.958333	1560	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ACBD6	ENST00000367595.4	15	6	2	0	1	8	37	ACBD6:single_exon:E1	0.200000	533	ACBD6:exon_block:E1-E5	0.466667	884	ACBD6:downstream_CDS_implantation:after_E2	0.800000	559	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ACD	ENST00000620761.6	5	4	3	0	1	12	61	ACD:single_exon:E3	0.400000	94	ACD:exon_block:E2-E6	1.000000	394	ACD:downstream_CDS_implantation:after_E1	1.000000	1275	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ACE	ENST00000290866.10	64	53	19	0	11	25	139	ACE:single_exon:E1	0.187500	283	ACE:exon_block:E5-E9	0.343750	832	ACE:downstream_CDS_implantation:after_E1	0.812500	3669	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ACER3	ENST00000532485.6	6	6	3	0	0	11	55	ACER3:single_exon:E9	0.500000	105	ACER3:exon_block:E6-E9	1.000000	302	ACER3:downstream_CDS_implantation:after_E5	1.000000	399	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ACKR1	ENST00000368122.4	2	1	0	1	0	2	4	ACKR1:single_exon:E1	0.500000	106	ACKR1:exon_block:E1-E2	1.000000	1146	ACKR1:downstream_CDS_implantation:after_E1	0.500000	987	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ACKR3	ENST00000272928.4	1	1	0	0	0	2	4	ACKR3:single_exon:E2	1.000000	1915	ACKR3:exon_block:E1-E2	1.000000	2015	ACKR3:downstream_CDS_implantation:after_E1	1.000000	1086	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ACO2	ENST00000216254.9	82	67	26	0	14	18	97	ACO2:single_exon:E15	0.109756	192	ACO2:exon_block:E12-E16	0.341463	716	ACO2:downstream_CDS_implantation:after_E1	0.975610	2304	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
